address,company,employment_type,industry,job,requirements,responsibilities,salary,salary_type,seniority,title
"KEPPEL BAY TOWER, 1 HARBOURFRONT AVENUE 098632",SYNGENTA ASIA PACIFIC PTE. LTD.,Full Time,"Information Technology, Marketing / Public Relations ",Business Analytics Lead,"RequirementsExperience & Qualifications  Demonstrated business analytical skills, evidenced by demonstrated impact on revenue generation, profitability enhancement, operational efficiency enhancement, etc. in previous roles 5+ years of experience leading analytic projects including: Personal accountability for developing and delivering business analytics output Personal responsibility for interpreting results of analysis, identifying variances/trends/root cause and providing solutions to customers and leaders Personal responsibility in developing viable strategic insights and recommendations with key business partners and team leaders Proficient working with business analytics tools such as Excel, PowerPoint, SAS, Tableau, Qlik, Etc.    Additional Knowledge, Skills, Traits & Abilities    Advanced degree in business strategy, economics, or related field 5 + years of increasing and relevant experience in business analytics or corporate strategy Proven delivery of tangible results through cross-functional collaboration with multidisciplinary teams in a highly matrixed organization Experience with analytical tools such as Excel, SAS, and visualization tools such as Tableau or Qlik Experience with agriculture data or industry; familiarity with Syngenta a plus Strong business acumen and professional communication skills (written & oral) Self-motivated and organized ","Roles & ResponsibilitiesSyngenta is a leading agriculture company helping to improve global food security by enabling millions of farmers to make better use of available resources. Through world class science and innovative crop solutions, our 28,000 people in over 90 countries are working to transform how crops are grown.   We are committed to rescuing land from degradation, enhancing biodiversity and revitalizing rural communities.   At Syngenta, you’ll be part of a team that is shaping the future of agriculture. Digital agriculture has the power to change the agriculture industry. Digital data and new technologies will transform the way that crops are managed in the future, and enable farmers and agronomists to enhance efficiency and sustainable food production. You will develop solutions that turns data into meaningful information and that simplifies the complexities of 21st century farming. You will connect different data sources to manage whole farm solutions. You will be playing a vital role in the food chain to safely feed the world and take care of our planet.   About this Job This role will lead / conduct business strategy analytics including leading various studies that may incorporate analyzing, reviewing, forecasting, trending, and presenting information for operational and business planning purposes. This role will support short and long term operational/strategic business activities - by developing, enhancing and maintaining operational information and models. This role will also develop and implement effective/strategic business solutions through research and analysis of data and business processes.   Job Profile   Anticipate customer needs related to business strategy requiring data driven analytics and proactively develops solutions to meet them.   Gather, Analyze and Define Business Requirements Develop and implement innovative approaches to addressing strategic business challenges.    Identify and/or establish appropriate testing metrics/targets to validate that business requirements are being met Serve as a key resource on complex and/or critical issues. Solve complex problems and develops innovative solutions. Perform complex conceptual analyses. Forecast and plan project requirements.   Collaborate with business and technical stakeholders (e.g., business owners, process owners, domain experts) to scope and implement business requirements   Authorize deviations from standards when needed. May lead functional or segment teams or projects.   Provide explanations and information to others on the complex issues. Motivate and inspires others including team members. Review work performed by others and provides recommendations for improvement. Review the work of others when appropriate. Serve as a leader/ mentor.   Demonstrate Business and Industry Knowledge ",,,Manager,analytics
"MYP CENTRE, 9 BATTERY ROAD 049910",CLOUDSTREAM ASIA PACIFIC PTE. LTD.,Permanent,Others,Data Analytics Manager,"RequirementsA balance of business and technical skill, the Analytics Manager will be at the forefront of changing how the industry uses data to analyse and optimise media. You are an acknowledged technical specialist, but want to be closer to clients’ business challenges than other roles give you the opportunity to be.   Comfortable working with both commercially and technically-focused teams, your communication skills will help you win over colleagues who are not yet analytics advocates. Your ability to design process, identify patterns and synthesize a simple story will help senior decision makers grow their business. After all, data is nothing without insight.   You will join a distinctly ambitious regional team, passionate about getting data right. We ask a lot, but in return you’ll see your career grow rapidly in an industry at the heart of the digital revolution.","Roles & ResponsibilitiesEssential qualities  Strong logic & quantitative skills, including analytical abilities and mathematical proficiency Demonstrated experience in web or app analytics advisory and implementation Additional technical expertise; advisory and implementation of Data Management Platforms and Customer Data Platforms, coding ability (SQL, Python, R, javascript) and product knowledge (AdTech, site/app analytics, cloud platforms, data visualisation tools) Great interpersonal skills; ability to build and maintain strong working relationships internally and externally Strong attention to detail; able to determine why a number is right or wrong. A disposition towards solutions, not problems Self-motivated & articulate in explaining technical concepts to a less specialist audience An appetite for innovation; you’ll want to get involved with local and global teams building new analytical products Strong Microsoft Office skills, notably; 	 Especially strong in Excel – data wrangling, pivot tables, macros etc Strong in PowerPoint – data presentation & story telling   Remain calm when faced with multiple tasks; able to prioritise and deliver on time Willingness to ‘pick up and run’ with projects when necessary; own deliverables and see them to completion Comfortable working & learning independently, as well as in a team Understand how we add value to our clients’ business Fluency in English (written and oral)    Additional skills  Knowledge of other digital/marketing fields e.g. SEO, PPC or web development Knowledge of analytical modelling Additional Asian languages ","$5,000to$7,500",Monthly,Middle Management,analytics
"UOB PLAZA, 80 RAFFLES PLACE 048624",A*STAR RESEARCH ENTITIES,"Contract, Full Time",Sciences / Laboratory / R&D,"Scientist (Power System Analytics), EPGC","Requirements PhD in Power System operation and analysis or Computer Science 3-4 years' research and/or industry experience in big data analytics related to power system operation and optimization Knowledge in power market operation and optimization Knowledgeable in database language and design e.g. MS SQL database. Proficiency in data analytics programming language e.g. R, C/C++, Python, MATLAB. Effective learning, communication and project management skills Ability to work with a team Willing to work in Jurong Island. (Shuttle-buses are available at various locations)  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Roles & Responsibilities Specialize in applying data analytics, machine learning, and data mining technology in power system analysis. Specialize in data collection, database technology and data modeling system/product design. Specialize in power system economics and planning, optimization and economic dispatch. Familiar with PLC application, power grid communication technology. Familiar with actual grid operation and energy management/SCADA system. Familiar with standard/codes or practical experience in modern power system such as Microgrid and smartgrid, energy storage system would be advantageous. To support industry projects, research grant call projects and internal projects in power system related topics. To prepare detailed technical analysis reports as required. To work with team member for experimentation of research work at EPGC facility. ","$5,900to$11,800",Monthly,Non-executive,analytics
"FUJI XEROX TOWERS, 80 ANSON ROAD 079907",EMPORIO ANALYTICS PTE. LTD.,Permanent,Consulting ,Senior Consultant Trade Marketing (Shopper Marketing & Insights),"Requirements  7+ years working experiences in CPG, FMCG or retail companies or consultancy, building on a higher education like Master’s Degree in Business Administration or comparable. Hands-On Experience in Trade Marketing, Category Management, Shopper Marketing, Shopper Insights, Loyalty & Customer Analytics in Retail or CPG environment Experienced and/or interested to work in a fast-paced Start-Up environment. Entrepreneurial Can-Do Attitude and willing to build a company together with a highly motivated international team. Ideally experience managing small consulting teams. Be commercially savvy, prepare organization budget and understand how to develop a business Fluent in English written and oral and ready to travel. ","Roles & Responsibilities Deliver quality consulting advice to clients from FMCG Industry and retail in the area of Trade Marketing, Shopper Marketing and Category Management Tactics based on Advanced Data Analytics / Data Science on Retailer and Shopper Data and your Hands-on Trade Marketing experience. Manage client projects from end to end covering pre-sales-consulting, onboarding, preparation of analyses, client presentation. Working together with our Data Scientists and Analysts to provide big data insights in the areas of Category Management and Shopper Marketing (i.e. Category Strategy, Promotion Evaluation, Assortment Optimization, Store Clustering, Price Optimization, Placement Advice, Targeted Shopper Communication) Develop new products and services in the area of analytics consulting in close collaboration with our Data engineers, Data Scientists and Retail and FMCG Experts. Identify and develop business opportunities, business partnerships, establish and maintain long term business relation with existing and potential clients in APAC as the key client contact. ",,,Middle Management,analytics
"FUJI XEROX TOWERS, 80 ANSON ROAD 079907",EMPORIO ANALYTICS PTE. LTD.,Permanent,Consulting ,Head of Data Science,"Requirements 7+ years working experiences in a Data Science role with hands-on experience in building business-relevant solutions. Building on a higher education like Master’s Degree and/or PhD in  in quantitative field such as mathematics, statistics, operations research, or engineering/technology with an emphasis on statistical analysis and data science. Deep expertise in advanced analytics and data science methods, tools, platforms and processes required to successfully design, build and operationalize data science solutions. Knowledge of big data tools and platforms, structured and unstructured data mining, analysis of real-time/streaming data and usage of external and non-traditional data sources Expert knowledge in Econometric Models such as advanced clustering, advanced regression and conditional probabilities as well as in Advanced Machine Learning Models such as Neural Networks, Graph Theory / Graph Clustering. Combination of analytical, technical and business acumen and hands-on experience in conceptualising and implementing Data Science Products, ideally in the area of Retail, CPG or Customer Marketing. Experienced and/or interested to work in a fast-paced Start-Up environment Entrepreneurial Can-Do Attitude and willing to build a company together with a highly motivated international team. Fluent in English written and oral. ","Roles & Responsibilities Lead and evolve our data science capabilities and provide thought leadership in the area of Big Data Advanced Analytics. Leading and managing the Data Science team and define and execute data science talent strategy. Provide individual and team leadership to data scientists to ensure they are growing their capabilities and achieving their career goals. Lead and foster the data science knowledge across the whole company. Define and evolve data science methods, toolset and processes including the use of advanced and emerging methodologies, end-to-end analytic development lifecycle, and agile ways of working . Oversee data science and predictive model governance, performance monitoring, and controls Work in close partnership with business consultants, analysts, data and software engeineers to design, build, and deploy data science solutions that create meaningful and measurable impact in the area of Retail, FMCG, Customer Marketing. Support the operationalization and integration of insights in business processes and collaborate with business facing analytics/consulting teams to ensure adoption and value realization ","$8,000to$10,000",Monthly,Senior Management,analytics
,MOODY'S ANALYTICS SINGAPORE PTE. LTD.,Full Time,Information Technology,Senior Technical Consultant,"Requirements Degree in IT or Engineering with experience in a software organization, consultancy or system integrator. Good interpersonal skills and client facing project experience. Minimum 5 years of fulltime work on Oracle database in one or more of the following roles: PL/SQL developer, DBA, and/or database consultant/specialist. Proficient in Oracle database, SQL, PL/SQL, Oracle 11g/12c, Unix system, database installation, troubleshooting, fine tuning work, optimization of database performance, audit trail, security checks, etc. Good understanding of web technologies and web application server configuration (Websphere, Weblogic, Tomcat, and/or JBOSS). Oracle 10g/11g/12c OCP database and web application server administrator certification would be an advantage. Good understanding of server hardware, data storage, web and cloud based application architecture. Ability to conduct technical training and provide support to presales activities. A good team player and enjoy interacting with people of all levels in a multicultural environment. Ability to take control and self-govern ongoing self-development. Excellent written, verbal communication, and presentation skills, ability to communicate to clients at different levels. Excellent command of English. Fluency in Bahasa Indonesia is highly beneficial. Must be flexible with local and international travel (50 - 80%). ","Roles & Responsibilities Responsible for all technical aspects of software implementation. Work closely with customer’s IT team to design the most appropriate integration architecture and batch workflow, develop customization, troubleshoot technical issues, and manage technical work stream. Perform software installation, user training, write technical documents, and provide 1st level technical troubleshooting and support. Troubleshoot issues in Oracle database, J2EE applications, and Web Application Server. Write customization code in SQL, PL/SQL, XML, Java, and shell scripts. ","$5,500to$10,000",Monthly,Professional,analytics
71 ROBINSON ROAD 068895,CIRCUS SOCIAL PTE. LTD.,Full Time,"Consulting , Marketing / Public Relations ",Senior Business Development Manager,"RequirementsRequirements:  Proven sales experience, meeting or exceeding targets 3-5 years of  experience as a BDM Ability to communicate, present and influence all levels of the organization, including executive and C-level Proven ability to drive the sales process from plan to close Proven ability to articulate the distinct aspects of products and services Proven ability to position products against competitors Demonstrable experience as head of sales, developing client-focused, differentiated and achievable solutions Excellent listening, negotiation and presentation skills Excellent verbal and written communications skills Experience in the media, SaaS, martech and advertising industry is preferred ","Roles & ResponsibilitiesCorporate Profile:   Circus Social is a digital analytics and insights company that has developed a next-generation intelligence platform, 20/Twenty (www.circussocial.com) to cater to the growing demand for better data analytics for marketers.   Our focus is helping clients track and achieve digital ROI, optimize campaigns and understand consumers through better digital data analytics, monitoring, and insights generation through our services.   Top brands like Coca Cola, Audi, National Library Board of Singapore and MasterCard are customers and agencies like Ogilvy, H&K, Zeno and TBWA are partners.     Who are you?   We are looking for a Sales Superhero.   Being proactive, hardworking, fun and friendly are must- haves! Being comfortable with and having, Social Media, Agency and Marketing Industry knowledge would be a huge plus. Being outspoken, self-driven and enthusiastic would definitely make you stand out.     Job Description   Your main responsibilities would be:   As the senior most Salesperson on the team, you will be responsible for prospecting, cold-calling, creating opportunities and closing deals. As our main representative in the market, you will build relationships with our key customers and prospects You will also get to work closely with the tech team to grow and scale the product.   Sr. Business Development Manager Job Duties:    Helps GM build a sales strategy by setting annual sales quotas for various products and regions; projecting expected sales volume for existing and new products. Market research to look for prospects and reaching out to them Building a pipeline of opportunities across products and region. Build and maintain strong, long-lasting customer relationships Use solution selling to engage with customers to understand their business needs and objectives Effectively communicate the value proposition of Circus Social & 20/Twenty through proposals and presentations Achieve 100% of quota which will be agreed through consensus based on market opportunity Reporting on forces that shift tactical budgets and strategic direction of accounts Keep up to date with social media trends, social media monitoring, digital industry changes and more Contribute in achieving client satisfaction at all touchpoints Ensure Client Success is met and achieve monthly KPIs (Key Performance Indicators) Work closely and collaborate with other team members to ensure best-in class end-to-end service execution Contributes to team effort by accomplishing related results as needed.   ","$4,500to$6,000",Monthly,Manager,analytics
"VERTEX, 33 UBI AVENUE 3 408868",AVENSYS CONSULTING PTE. LTD.,Full Time,"Consulting , Information Technology",Marketing Executive,"RequirementsKey Skills:  Good teamwork skills Communication skills and networking ability Adaptability Strong attention to detail Good organisation and planning skills Creativity and writing skills Commercial awareness Numerical skills IT skills  Requirements:  Active and well-rounded personal presence in social media, with a command of each network and their best practices. Excellent communicator and creative thinker, with an ability to use both data and intuition to inform decisions. Proficiency in using social media software to monitor social media conversations. You will be our ear to the ground to route the appropriate marketer, sales rep, and/or support rep to social conversations. Exceptional writing and editing skills, as well as the ability to adopt the style, tone, and voice of our business' various types of content. Excellent organizational skills to work independently and manage projects with many moving parts. Bonus experience and skills include Adobe Creative Suite, demand generation, inbound marketing, and blogging. 2-3 years of marketing and content creation experience. Experience in digital marketing, product marketing, and/or product management. Prefer working in a collaborative, cross-team capacity. This role requires you to work across functions and departments to bring the product to life. You are at the center of our entire organization, constantly interacting with teammates and prospect. ","Roles & ResponsibilitiesJob type: Permanent, Work Location: Ubi Ave. 3 Job Summary: Develop marketing campaigns to promote products and services. Encompass creative, analytical, digital, commercial and administrative responsibilities. Oversee many aspects of a campaign throughout the entire lifespan of a product, service or idea.  Key Responsibilities:  overseeing and developing marketing campaigns conducting research and analysing data to identify and define audiences devising and presenting ideas and strategies promotional activities compiling and distributing financial and statistical information writing and proofreading creative copy maintaining websites and looking at data analytics organising events and product exhibitions updating databases and using a customer relationship management (CRM) system coordinating internal marketing and an organisation’s culture monitoring performance managing campaigns on social media.  involve digital and online marketing work, as employers will typically operate a website and social media accounts.  need to look at analytics and come up with appropriate courses of action, produce written and multimedia content manage various email campaigns, including the template designs, calls-to-action, and content used in our email sends. ","$2,000to$4,000",Monthly,"Executive, Junior Executive",analytics
"TOWNERVILLE, 8 MAY ROAD 328595",ATTRIBUTE DATA PTE. LTD.,"Permanent, Full Time","Consulting , Professional Services",Senior Web Analyst,"RequirementsWho are we looking for? ·      At least 3 years of work experience/background in either web development, analytics, or statistics ·      Preferred to have worked with or in marketing teams before ·      Has a good understanding of forming performance measurement frameworks and technical specifications for data acquisition ·      Understands the value of web technologies ·      Can translate business requirements into metrics of KPIs ·      Inquisitive, Can interpret reports and communicate results ·      Can propose a course of action based on an analysis of reports ·      Has a basic understanding of statistics. ·      Familiar with Internet browsers, Microsoft Excel, and a packet monitor. You should also be comfortable working in the Windows, Mac OSX, and Linux environments. ·      Passion for the web and data. Highly curious to uncover insights that will help optimise online experiences. You should be able to display your web analysis prowess with the use of leading tools such as Adobe Analytics, Google Analytics and tag management tools. ·      Bonus if you have experiences with debugging tools (Charles, Fiddler), Microsoft Office suite of products, HTML, JavaScript. Knowledge of other programming languages (Java, Python, .NET platforms), jQuery and other JavaScript libraries is a good to have. ·      An aptitude test might be given for shortlisted candidates.","Roles & ResponsibilitiesWhat would you be doing? ·      Work with client stakeholders to gather, refine and translate business requirements to measurement outcomes. ·      Design data capture strategies to understand customer behaviour and preferences ·      Design data capture technical specifications to achieve those strategies ·      Interpret reports and numbers ·      Configure reports, dashboards, and alerts ·      Analyze and suggest proposed actions based on reports ·      Assist in audit and debugging of analytics implementations ·      Organize and distribute reports to different groups ·      Answer ad-hoc questions from other users ·      Create segments within Analytics Tool ·      Communicate findings and facilitate meetings to prioritise and drive action",,,Executive,analytics
"SPORE BUSINESS FEDERATION CTR, 160 ROBINSON ROAD 068914",EPAM SYSTEMS PTE. LTD.,Full Time,Information Technology,Senior Software Engineer,"Requirements Proficiency object oriented software: Scala & Java 4+ year experience designing technical solutions using object-oriented design concepts. 3+ years of experience developing in scripting languages such as Python, Perl or JavaScript. experience in stream data, such as Kafka desired Proficiency working with large data stores in writing production-quality code, preferably in Scala and/or Python Deep understanding of all things “database” - schema design, optimization, scalability, etc. Experience with the Hadoop ecosystem: HDFS, Spark, Pig, Hive Excellent communication skills You are amazingly entrepreneurial Experience working with huge data sets Provide recommendations and design optimal configurations for large-scale deployments. Experience in SDLC, especially testing and deployment. Experience with Jenkins is a plus. Working knowledge of scripting languages Knowledge around machine learning a plus AWS / cloud computing (working knowledge) Unix-like operating system environment (proficient) Software version control (e.g. git working knowledge or greater) Track record of contributions to open source software projects. Be passionate about resolving user pain points through great design. Be open to receiving feedback and constructive criticism. ","Roles & ResponsibilitiesThe objective of this position is to work with business and technical experts to implement software engineering best practices related that promotes the highest re usability across the US and Global. The individual must have superb analytical and technical skills coupled with the ability to drive project deliverables. The individual will be expected to participate in the collaborative concept definition, architectural refinement, software design and realization of products that support the strategic technology needs to support the organization. A full stack engineer is a person that has a breadth of knowledge in computer science, a problem solving mentality and a desire to learn. This person is comfortable working with in a technical capacity across many of the Data & Analytics sectors including core development on platform, data processing and report generation. The FSE will be working in a team that demands technical excellence and whose members are expected to hold each other accountable in the overall success of the output. Focus for this team is on the delivery of innovative solutions to complex problems. ","$8,000to$12,000",Monthly,Professional,analytics
