address,company,employment_type,industry,job,requirements,responsibilities,salary,salary_type,seniority,title
"PENINSULA PLAZA, 111 NORTH BRIDGE ROAD 179098",ARISTON SERVICES PTE. LTD.,"Permanent, Contract, Full Time",Information Technology,Technical Consultant (SCD Business Analyst),"RequirementsSkill Requirements  Expert Data Analysis Skills Strong SQL Skills Expert knowledge of Financial Instruments Expert SCD Experience including but not limited to   Building, executing and maintaining interfaces and loading data into SimCorp DEX creation Segment Creation Que and Server setup to optimize loading   Strong T-SQL Skills Strong Excel Skills Experience in SCD including the Data Loading, Extraction and Reconciliation of data ","Roles & ResponsibilitiesKey Activities  Business Analyst Activities Lead Role for BA requirements and Design Specs Interface with business owners to capture business requirements Manage the BRD/Design process to ensure a common approach and method working with Team Leads, Business Units and other Bas. Define working BRD/Design docs to capture requirements, mappings, rules for loading and reconciliation Analyze all Source Activity Data plus all Master/Static/Reference Data from Markit, SCD and other sources. Define Data Quality Rules for Pre-Load Validation Define Source dependencies for key cross references and overrides Define Transformation Rules to map to SCD Interfaces Define Precision Rules for loading of transformed data. Define Mapping and tolerances for reconciliation Ongoing Liaising with business to resolve breaks and refine requirements Perform AD-Hoc data analyses on all data sets using the IDQ EDM tool to deliver insights to business units, MDM teams and other interested parties.   Tech Activities Build DFS and other interface mechanism to load data into SCD Building and Maintaining Port Calcs, Extracts and Dexes in SCD Load and Extracting Data from SCD Configure and Execute IDQ Migration solution to set up and run Migration WorkStreams and Reconciliations (Training to be provided) ","$8,000to$10,000",Monthly,"Manager, Professional, Executive, Senior Executive",business analyst
"SINGAPORE POST CENTRE, 10 EUNOS ROAD 8 408600",SINGAPORE POST LIMITED,Permanent,Information Technology,Business Analyst (ISS),"Requirements Bachelor Degree in Computer Science / Engineering 2+ years of BA experience in requirements gathering and requirement documentation. 2+ years of Gap analysis experience in multi-tier web-based software and applications. Experience in the logistics industry is strongly preferred. Familiar with Agile development practices, agile certification a plus ( such as CSM, CSP or PMI) Knowledge of software development life cycles (SCRUM, Agile, and/or waterfall). Demonstrated ability to interact directly with business owners / subject matter experts to interpret business needs and large problems and distilled them into workable components 	Experience with complex system in fast-paced agile environment Experience supporting full software development lifecycle (business process, requirements, design, development, testing, deployment, and training) Strong interpersonal skills, able to work well in a mixed team of personnel and contractors Ability to adapt to rapidly changing priorities and subject matters Strong organization and time management skills with emphasis on self-initiation and follow through Experience with JIRA or other agile software program is a PLUS Ability to create functional, non-functional, and use case artifacts. Create and maintain a requirements matrix for the benefit of a project team. Ability to write formal functional and business requirements that are clear, detailed, and precise. Ability to obtain and document high-level data requirements for the proposed solution/enhancement. \Ability to acquire technical knowledge quickly, possessing both highly specialized technical skills coupled with broader computer competence. Places a high value on time effectiveness. Efficiently uses time to get results.  Sets realistic time goals, juggling multiple tasks without risk to quality. Develops resourceful solutions despite limited resources and sees projects to completion without supervision. Excellent interpersonal and communications skills. Demonstrates analytical way of thinking with a desire for quality with attention to detail. Capable of working on multiple projects in a fast-paced dynamic entrepreneurial environment ","Roles & ResponsibilitiesSummary   The ISS Business Analyst (BA) will be responsible for executing requirements gathering, authoring high quality business requirements/artifacts, and working closely with product owners, developers, testers and possibly client teams (if needed).   Responsibilities:    Become Subject Matter Expert (SME) in our OMS, WMS, and TMS applications. Become a Subject Matter Expert (SME) in all integration touch points such as OpenTools, MULE, etc. Determine operational objectives as part of business requirements; with stakeholders, and evaluating requests for desired/requested business solutions. Evaluate existing or interfacing systems and provide analysis and recommendations on whether interfaces should be continued or functionally subsumed Identify modifications and improvements to enhance efficiencies and performances of existing systems Identify core business needs and decompose and document in concepts of operation, briefings and user stories; document business rules and construct use cases and workflow diagrams as needed Work collaboratively as part of scrum team to convey stakeholder needs and in support of development and testing Serve as resource during testing and advise user support teams on expected system behavior Ability to work extra hours when necessary. Perform other related job duties as assigned ","$4,000to$8,000",Monthly,Executive,business analyst
,BENTO INVEST PTE. LTD.,"Permanent, Full Time",Information Technology,Business Analyst for Financial Technology,"RequirementsRequirements:  Bachelor’s Degree in Engineering or Computer Science required; Master preferred  ·       2+ years’ experience as a software development projects ·       Experience in finance service and products is preferred. ·       Strong knowledge and understanding of business needs with the ability to establish/maintain high level of customer trust and confidence ·       Ability to prioritize and adapt quickly to shifting priorities, demands and timelines. ·       Demonstrate analytical mindset and creative problem-solving capabilities ·       Basic project management skills ·       Excellent oral and written communications skills and experience interacting with both internal and external parties ·       The role is for Singapore based applicants only","Roles & ResponsibilitiesResponsibilities: -          Define business requirements and prepare a detailed business analysis outlining problems, opportunities and solutions for a business -          Analyze, define and document requirements for data, workflow, logical processes, interfaces with other systems, internal and external checks and controls. Document the business and technical requirements in a consistent manner along with obtaining sign off from business areas. As appropriate, review and suggest business process improvements as part of the project implementation. -          Manage projects with reporting and visibility of project progress in JIRA. -          Prepare documentation of product features post implementation -          Help with testing including - Unit testing, Integration testing, Interface testing, Regression testing and other aspects of Beta/Acceptance testing","$3,500to$4,500",Monthly,Senior Executive,business analyst
"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",HELIUS TECHNOLOGIES PTE. LTD.,Permanent,Information Technology,Business Analyst Project Manager,"RequirementsBusiness Requirements are delivered according the change request raised Effort estimates are appropriate for the change requirements raised Deliveries from vendors and developers meets standards and user requirements Responsible for planning the BAU takeover for new initiatives (related to Life Business) with project team/ Competency manager before system go live to ensure a smooth transition; to set up BAU team to take over and support when system go live Ensure integration to Front End Point of Sales Tools, Back Office Support and Realigning the process and procedures for Front-end Life Processes are optimized with the adoption of new technologies across the business and the relevant supporting units.  To manage a team of BAs that support Life business, this include task assignment and monitoring, provide coaching and mentoring, motivate staff to maximize their performance and potential, building and develop the team member’s competency and skillset to support life business or any project initiatives.","Roles & ResponsibilitiesBe the subject matter expert for users and IM Technical solution manager, developers on the changes required in the applications that it integrates to and the overall IT architecture development from the business perspective Drive the implementation of  Life BAU projects / enhancements with Business stakeholders, IM, vendors Manage the stakeholders from IM and business departments (across various levels) , including: Work with users on the yearly business plan, plan in budget to support business initiatives Chair and run quarterly prioritisation meeting with Life management and other departments to share cost and planning for the quarterly enhancements for Life Insurance business lines","$10,000to$14,000",Monthly,Senior Executive,business analyst
"ONE RAFFLES PLACE, 1 RAFFLES PLACE 048616",SPENCER OGDEN PTE. LTD.,Contract,Information Technology,Technical Business Analyst,"RequirementsJob scope:  Gathering of technical requirements from business users and clients Building, executing, analysing and distribution of Preload Data Quality Reporting and Reconciliation Reporting to the business users Supporting of Lead Business Analyst to produce Business Requirements Documents and Design Specifications Interacting with business users to improve the application Building, executing and maintaining of interfaces and loading of data into Simcorp  Requirements:  Minimum 4 years working experience as a Business Analyst working on Requirement Gathering, BRD/FSD Preparation etc 4 years of experience working on Data Analysis and SQL Prior experience working on Simcorp Dimension would be an advantage  Interested candidates to send your resume to Benny.tan@spencer-ogden.com for a confidential discussion. EA License; 13C6321 Reg No. R1656346","Roles & ResponsibilitiesDescription:  I am currently looking out for a Technical Business Analyst with experience working on Simcorp Dimension for my client, who is an international consultancy firm, providing end-users and MNC with IT solutions and services. They are currently undergoing a massive expansion on their project volumes, looking for a Business Analyst to join them in their expansion. ","$5,500to$7,000",Monthly,Executive,business analyst
"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066",SCIENTE INTERNATIONAL PTE. LTD.,"Contract, Full Time",Information Technology,Business Analyst (AML) (JD#4511),"RequirementsMandatory Skill-set:  Bachelor Degree in Information Technology or Computer Science Engineering; At least 5 years of experience as a Business Analyst; Prior experience in AML (Anti Money Laundering) related compliance applications; Expertise in working with business users to understand their business needs; Strong analytical, problem-solving skills and attention to detail; Strong oral and written communication skills.  Desired Skill-set:  Experience in Banking or Financial domain; Certified Business Analysis Professional (IIBA); Certified Project Management Professional (PMP).  Responsibilities:  Understand, collate and document users’ requirements for the Anti-Money Laundering System (AMLS) application; Transform business requirements to technological solutions by defining, analyzing and documenting requirements as per business needs; Provide support to business users and assist business units in translating business requirements into deliverables; Contribute to the business specific tasks in the projects undertaken by the team from initialization to post-implementation; Liaise with business users and technical team on issues and change requests; Create and execute testing plan and coordinate UAT and SIT to validate application conformance to specifications; Follow through the issue resolution and/or establish resolution plan; Understands strategic planning, perform business model analysis, process design and systems analysis; Ensure successful delivery of enhancement projects from solutioning, test planning, facilitation of simulation, implementation, live verification and documentation.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only shortlisted candidates will be notified. ",Roles & ResponsibilitiesOur client is looking for a Business Analyst who has great interest and is experienced in Anti-Money Laundering (AML) to join their team and aid with their business process transformation.,,,Non-executive,business analyst
"SUNTEC TOWER FIVE, 5 TEMASEK BOULEVARD 038985",ALLEGIS GLOBAL SOLUTIONS (SINGAPORE) PTE. LTD.,Contract,Banking and Finance,Business Analyst,"RequirementsPerform a critical contributor role to the projects team by delivering key project work items that include but are not limited to the following:  Receive, review and execute data analysis tasks using Paxata and other data analysis systems that cover extensive data from multiple bank systems spanning across all relevant markets and business segments. This includes data extraction, data validation and output generation Support the project team to establish and maintain an effective working relationship with internal and external stakeholders to ensure that they can execute on their accountabilities in relationship to the project. Provide analytics and insights to the project team; for consumption of management, key stakeholders and the greater network based on generated MIS and other obtained data Provide MIS support to the project team as well as project stakeholders as needed Safeguard all project data by ensuring strict adherence to information communication guidelines polices as well as data storage/archival procedures  Strategy  Uphold SCB Group standards and governance by ensuring that the project tasks and activities assigned is in full compliance Ensure awareness of the latest, up-to-date group and team strategy by attending town halls and meetings relating to the implemented model/approach. Complete all mandatory trainings and learning activities Ensure alignment of assigned work items and activities to the strategic and tactical direction of the project team  Business  Fully understand and align self and all work items to the Risk Technology and broader organizational agenda. Contribute to the overall cost management agenda by consistent monitoring and highlighting areas of the project delivery where cost can be further controlled/reduced Drive operational efficiency and effectiveness for processes and projects under area of responsibility  Processes  Generate, document and circulate MIS and other critical reports relevant to the project/s on a regular and ad-hoc basis Perform detailed analysis of specific aspects of the project scope, propose relevant solutions and translate into clear, functional deliverables that are required by internal and external stakeholders Assist the PM with planning of project team tasks by providing leadership and guidance to the junior members of the team Extract and validate critical input data relevant to the project/s  People and Talent  Leading through example by upholding high standards of excellence, ethics & code of conduct, governance and risk awareness, and stakeholder partnership & collaboration Enable other team members to function optimally within the team and contribute to aligning others to the overall project objective  Risk Management  Maintain a culture of risk awareness and proactive resolution. Identify project/operational risks & issues and communicate them to the relevant people in a timely manner – assist with proposing & planning mitigating steps as appropriate Review, validate and store all project input and output data in alignment to the established ORF guidelines for the generation of reports/execution of processes  Governance  Align self and establish awareness/understanding of the Group regulatory framework, the regulatory requirements and expectations relevant to the data analyst role Strong adherence and compliance to the bank and industry project execution and delivery standards, code of conduct, and good governance and risk management Contribute to the preparation and circulation of regular project execution updates to all relevant stakeholders and address issues or clarifications on a timely manner  Regulatory & Business conduct   Lead by example; uphold SCB Code of Conduct and Values by demonstrating compliance on all relevant aspects of the data analyst role Contributing to the project team in achieving the outcomes set out in the Bank’s Conduct Principles: Financial Crime Prevention; The Right Environment.  Other Responsibilities  Living the values of “Here for good” and the Group’s brand and values in the Credit Risk and Stress Testing team Performing other responsibilities assigned under Group, Country, Business or Functional policies and procedures ","Roles & Responsibilities  Allegis Global Solutions is the exclusive Contingent HR services provider for one of the world’s leading banks. At Allegis Global Solutions we’re proud to be the leader in global talent solutions. We draw upon decades of industry expertise to develop innovative tools, products, processes and strategies focused on outcome. Moreover, we’re incredibly proud to have built a culture that empowers our people to make their mark while making deep connections that will last a lifetime. With our passion and culture for talent, we are truly transforming the way the World acquires talent.   Our Client is one of the world's most international banks with over 1,100 branches, offices and outlets in 67 countries. They operate in some of the world's most dynamic markets and have been for over 150 years. More than 90 per cent of their income and profits are derived from Asia, Africa and the Middle East. Their brand promise, Here for good, underlines their distinctive approach.   The team is responsible for the performance management function and is under IMO (integrated middle office). This team does the client definition by using a system called PAXATA. It is an automated system of about 200 pages of data. The individual will need to know how to perform basic coding (using tools like excel / SQL) and know how to link these changes to make business sense at the end of the day. The individual must have business understanding to do this role as there could be changes to policy request.","$4,500to$5,500",Monthly,Executive,business analyst
,MACQUARIE INFRASTRUCTURE AND REAL ASSETS (SINGAPORE) PTE. LIMITED,"Permanent, Full Time",Banking and Finance,Business Analyst,"RequirementsCandidates will have a tertiary qualification in a quantitative field from a top tier university. Experience in Investment Banking, Private Equity or the Infrastructure sector and Asian language skills (e.g. Chinese, Malay, Bahasa Indonesia, etc) will be viewed as an advantage.  Candidates are required to have strong analytical and numerical skills.  Candidates will also have a track record of teamwork and strong presentation and interpersonal skills. Apply now, and to learn more about this exciting opportunity visit www.macquarie.com/about Macquarie Infrastructure and Real Assets (MIRA) is a leading global alternative asset manager specializing in four real asset classes: infrastructure, agriculture, real estate and energy investment management.  MIRA currently manages $101 billion in AUM which includes over 128 portfolio companies, 300 properties and 2.9 million hectares of farmland across 23 countries. Macquarie understands the importance of diversity and inclusion - our long history of success has come from being different. At Macquarie we value the innovation and creativity that diversity of thought brings. The one thing we all have in common is our focus on high performance. If you're capable, motivated and can deliver, we want you on our team. We facilitate a range of flexible working arrangements within our teams.  Talk to us about what flexibility may be available. ","Roles & ResponsibilitiesJoin our supportive and high performing Infrastructure and Real Assets team as a Business Analyst in Singapore. You will work in a fast paced, challenging environment where you will be exposed to activities associated with M&A, fund and asset management, and capital markets. You will be responsible for supporting with the management of existing fund assets by executing activities such as asset valuation and performance analysis through financial modelling and scenario analysis.  You will also be responsible for assisting with the review and approval of asset acquisitions as well as owning research projects and analysis relating to both existing and targeted assets.     ","$80,000to$110,000",Annually,Fresh/entry level,business analyst
"UBI TECHPARK, 10 UBI CRESCENT 408564",NITYO INFOTECH SERVICES PTE. LTD.,Contract,Information Technology,Senior Business Analyst,"Requirements• At least 8 years’ experience as a Business Analyst and Support roles and preferably in Banking Domain • At least 2 years of experience working with KYC or On-boarding (preferable). • Proficient in SQL • Proficient in Visio, Microsoft Office • Ability to articulate complex issues concisely and communicate effectively and comfortably with multiple parties Compliance, Business and Development and Senior Management • Strong analytical and problem solving skills • Influencing project stakeholders and team members • Demonstrated ability to work under tight deadlines and deliver in a fast-paced environment • Excellent verbal and written communication skills • Detail-oriented • Assertive, self-starter, and team-oriented","Roles & ResponsibilitiesThe successful candidate will need to be a hands-on self-starter, capable of working directly with the Global and Regional Compliance and Business teams and partnering technology groups. This role is crucial to ensure the KYC enhancements have smooth releases and ensure the Post Production Issues are reported and resolved in timely manner.","$7,000to$7,500",Monthly,Professional,business analyst
"PENINSULA PLAZA, 111 NORTH BRIDGE ROAD 179098",ARISTON SERVICES PTE. LTD.,"Permanent, Contract, Full Time",Information Technology,Senior Technical Consultant ( IDQ MIGRATION Business Analyst),"RequirementsKey Activities  Business Analyst Activities Support the Lead Role BA to produce BRDs and Design Specs   See Tech SCD BA/Business Analyst Activities tasks   Perform AD-Hoc data analyses on all data sets using the IDQ EDM tool to deliver insights to business units, MDM teams and other interested parties.     Tech Activities Lead resource to configure and execute IDQ Migration solution to set up and run Migration WorkStreams and Reconciliations (Training to be provide) Primary Role is to build and execute IDQ Migration Workstreams and IDQ Reconciliations to support the loading and reconciliation of Source Data being migrated to Simcorp. Build the Migration and Reconciliation configurations in the IDQ-Migration tool to ensure sufficient information is generated for SCD loading as well as information-rich reconciliations. Migration configuration includes   Defining complex Source Models form various heterogenous sources and data types Defining Data Quality checks Defining Transformation Rules Defining Publishing rules to create outputs for Loading and Recon Build custom handlers to support extensions to the IDQ-Migration point and click paradigm   Reconciliation configuration includes   Key Mapping between the Source and Destination System Compare fields Compare Tolerances Informational Fields to enrich the recons   Build DFS and other interface mechanism to load data into SCD Building and Maintaining Port Calcs, Extracts and Dexes in SCD Load and Extracting Data from SCD   ","Roles & ResponsibilitiesSkills  Expert Data Analysis Skills Expert SQL Skills Familiarity with Financial Instruments SCD Experience or other FinTech platform.   Building, executing and maintaining interfaces and loading data into SimCorp   Strong Excel Skills ","$8,000to$9,000",Monthly,"Manager, Professional, Senior Executive",business analyst
