address,company,employment_type,industry,job,requirements,responsibilities,salary,salary_type,seniority,title
"MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981",GOOGLE ASIA PACIFIC PTE. LTD.,Full Time,Engineering,"Strategic Cloud Data Engineer, Google Professional Services - Singapore","RequirementsMinimum qualifications: - Bachelor's degree in Computer Science, Mathematics or related technical field, or equivalent practical experience. - 2 years relevant work experience managing internal or client-facing projects to completion, troubleshooting clients' technical challenges and experience working with Engineering teams, Sales, Services, and customers. - Experience with data processing software (such as Hadoop, Spark, Pig, Hive) along with data processing algorithms (MapReduce, Flume). - Experience in writing software in one or more languages such as; Java, C++, Python, Go and/or JavaScript. Preferred qualifications: - Experience in working with/on data warehouses, including data warehouse technical architectures, infrastructure components, ETL/ELT and reporting/analytic tools, environments, and data structures. - Experience in Big Data, information retrieval, data mining or Machine Learning as well as experiences in building multi-tier high availability applications with modern web technologies such as; NoSQL, MongoDB, SparkML, and Tensorflow. - Experience architecting, developing software, or internet scale production-grade Big Data solutions in virtualized environments such as AWS, Azure, and Google Cloud Platform - Relevant experience in technical consulting.","Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Google Cloud Google Cloud helps millions of employees and organizations empower their employees, serve their customers, and build what’s next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. And our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. The role: Strategic Cloud Data Engineer, Google Professional Services - Singapore The Google Cloud Platform team helps customers transform and evolve their business through the use of Google’s global network, web-scale data centers and software infrastructure. As part of an entrepreneurial team in this rapidly growing business, you will help shape the future of businesses of all sizes use technology to connect with customers, employees and partners. Additional Role Description: As a Cloud Data Engineer, you'll guide customers on how to ingest, store, process, analyze and explore/visualize data on the Google Cloud Platform. You will work on data migrations and transformational projects and work with customers to design large-scale data processing systems, develop data pipelines optimized for scaling, and troubleshoot potential platform challenges. You will travel to customer sites to deploy solutions and deliver workshops to educate and empower customers. Additionally, you'll work closely with Product Management and Product Engineering teams to build and constantly drive excellence in our products. Responsibilities: - Be a trusted technical advisor to customers and solve complex cloud infrastructure and networking challenges. - Create and deliver best practices recommendations, tutorials, blog articles, sample code and technical presentations adapting to different levels of key business and technical stakeholders. - Travel regularly, up to 30% of the time in-region for meetings, technical reviews, and onsite delivery activities.","$6,750to$13,500",Monthly,Executive,data engineer
"CHINA SQUARE CENTRAL, 18 CROSS STREET 048423",THOUGHTWORKS PTE. LTD.,Full Time,"Consulting , Information Technology",Senior Data Engineer,"RequirementsIdeally, you should have -   5+ years of experience building and deploying large scale data processing pipelines in a production environment Production-level hands-on experience working on HDFS, Java MapReduce, Hive, Apache Spark, Oozie etc. Solid understanding of YARN, Mesos, MPP Databases, SQL-on-Hadoop solutions like Impala etc. Experience working with, or an interest in Agile Methodologies, such as Extreme Programming (XP) and Scrum Knowledge of software best practices, like Test-Driven Development (TDD) and Continuous Integration (CI) Strong communication and client-facing skills with the ability to work in a consulting environment is essential Senior developers (7+ years) are expected to be the Architect for small and large enterprise projects. On larger projects, you are expected to work closely with the fellow architects to come up with the architecture and take it further. Desire to contribute to the wider technical community through collaboration, coaching, and mentoring of other technologists  If you relish the idea of being part of a community that extends beyond the work we do for our customers, you may find ThoughtWorks is the right place for you. If you share our passion for technology and want to help change the world with software, we want to hear from you! To apply, please submit your CV and tell us why you want to join ThoughtWorks. We will ask you to write code as part of your interview process, so be prepared! Our recruiters will be in touch.","Roles & ResponsibilitiesSingapore, SingaporeThoughtWorks Singapore is looking for talented engineers passionate about building large scale data processing systems to help manage the ever-growing information needs of our clients.    You will be responsible for -   Creating complex data processing pipelines, as part of diverse, high energy teams Designing scalable implementations of the models  Hands-on programming based on TDD, usually in a pair programming environment Deploying data pipelines in production based on Continuous Delivery practices Advising clients on the usage of different distributed storage and computing technologies from the plethora of options available in the ecosystem ","$5,700to$11,200",Monthly,Professional,data engineer
"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",NIBAARA TECHNOLOGIES PTE. LTD.,Full Time,Information Technology,Sr. Software engineer Data cap /  ICM,"Requirements Hands on experience in designing and developing applications using Datacap 9.1. 5-8 years of development experience using Java/J2EE related technologies Should possess good communication and problem solving skills Should have Aptitude and Attitude of learning and mastering new technologies and tools Working in client facing environment is a plus Working in Agile Methodology is a plus Working experience in Banking Domain is an added advantage Profound insight of dojo, navigator, VB script and Java script. Working experience with Relational Databases, PL/SQL. Experience in Oracle preferred. Experience in Datacap solution deployment. Object oriented analysis and design using common design patterns. Good to have experience in installation of Datacap. Good to have experience in designing and developing applications using Datacap 8.1, ASP.net and VB script. Good to have knowledge of OCR (optical character recognition) ","Roles & Responsibilities Ensure the timely completion of the tasks assigned Ensure to follow the Technology and Process Standards, set for the project Produce high quality technical documentation Develop Low Level Design Undertake development tasks with minimal supervision, including programming and testing To monitor progress and provide timely updates to Lead On need basis should able to work as back up lead Technical Design documents Developed Programs with high quality and as per the planned schedule Developed Programs with high quality, with process standards and as per the planned schedule Unit Test Cases Interacts with Technical Lead, BAs and testers for the project during the project lifecycle Interacts with the Client managers, for status review meetings ","$5,000to$7,000",Monthly,Professional,data engineer
"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",NIBAARA TECHNOLOGIES PTE. LTD.,Full Time,Information Technology,Data cap /  ICM Engineer,"Requirements Atleast 2-4 years of development experience using Datacap 9.1, Java/J2EE related technologies Should possess good communication and problem solving skills Should have Aptitude and Attitude of learning and mastering new technologies and tools Working in client facing environment is a plus Working in Agile Methodology is a plus Working experience in Banking Domain is an added advantage ","Roles & Responsibilities Hands on experience in designing and developing applications using Datacap 9.1. Profound insight of dojo, navigator, VB script and Java script. Working experience with Relational Databases, PL/SQL. Experience in Oracle preferred. Experience in Datacap solution deployment. Object oriented analysis and design using common design patterns. Good to have experience in designing and developing applications using Datacap 8.1, ASP.net and VB script. Good to have knowledge of OCR (optical character recognition) Technical Design documents Developed Programs with high quality and as per the planned schedule Developed Programs with high quality, with process standards and as per the planned schedule Unit Test Cases   ","$4,500to$6,000",Monthly,Professional,data engineer
,Company Undisclosed,Permanent,Banking and Finance,Data Engineer,"RequirementsTechnical and Behavioral Competencies / Specific Qualifications (if required)  Technical Competencies   Implementation experience with of Big Data technologies including large data stores and Machine Learning Knowledge of various Statistical Analysis, Probabilistic Analysis and Data Visualization techniques preferred Advanced knowledge of SQL and/or NoSQL systems Basic understanding of project lifecycle stages    Behavioral Competencies  Ability to manage conflicting requests on time in a continually fast moving environment and operating in a global team Must be a self-starter with attention to detail and strong communications (written and oral) skills    Preferred qualifications:   Experience with Front Office traders, IT support and Operation teams in a Capital Markets domain. Knowledge of JAVA, J2EE, JavaScript, JSON, Perl, SQL, and PL/SQL would be a plus Experience with machine learning, natural language processing, AI, or robotics is a plus    Qualifications and Experience  Master’s degree in engineering, math, statistics, physics or other technical field   ","Roles & ResponsibilitiesPosition Purpose The APAC GM & ALMT IT TP Engineering group runs Trade Processing and Regulatory Projects for Global Market and ALMT business and operations.   Responsibilities  Partner with senior business sponsors, platform supervision, compliance, and business management to enhance and augment the holistic supervisory and surveillance platform Investigate and analyze data on the surveillance platform as key input to enhance existing data strategy on multi-vector analysis using various natural language processing and machine learning techniques Primary focus is to investigate and analyze available structured and un-structured information, apply data mining techniques, perform statistical analysis, and provide methods (algorithmic and technical) to create actionable alerts and reduce false-positives Develop and enhance software solutions to meet business requirements Gather and document technical requirements and specifications Work with the project PM and BA’s on project planning and deliverable Work on multiple tasks and respect aggressive schedule Work in a fast paced environment. ","$6,500to$13,000",Monthly,"Executive, Senior Executive",data engineer
,DBS BANK LTD.,"Permanent, Full Time",Banking and Finance,"VP / AVP, Senior Data Engineer, Group Consumer Banking and Big Data Analytics Technology (180003L2)","Requirements Experience in big data and machine learning The ability to work with loosely defined requirements and exercise your analytical skills to clarify questions, share your approach and build/test elegant solutions in weekly sprint/release cycles. Development experience in Java/Scala and pride in producing clean, maintainable code Practical experience in clustering high dimensionality data using a variety of approaches Real world experience in solving business problems by deploying one or more machine learning techniques Experience creating pipelines to analyze data, extracted features and updated models in production. Independence and self-reliance while being a pro-active team player with excellent communication skills. Hands-on development with key technologies including Scala, Spark, and other relevant distributed computing languages, frameworks, and libraries.  Experience with distributed databases, such as Cassandra, and the key issues affecting their performance and reliability.  Experience using high-throughput, distributed message queueing systems such as Kafka. Familiarity with operational technologies, including Docker (required), Chef, Puppet, ZooKeeper, Terraform, and Ansible (preferred).  An ability to periodically deploy systems to on-prem environments.  Mastery of key development tools such as GIT, and familiarity with collaboration tools such as Jira and Confluence or similar tools.  Experience with Teradata SQL, Exadata SQL, T-SQL Strong experience in graph and stream processing Experience in migrating SQL from traditional RDBMS to Spark and BigData technologies Experience in building language parsers using ANTLR, query optimizers and automatic code generation In-depth knowledge of database internals and Spark SQL Catalyst engine ","Roles & Responsibilities Design and implement key components for highly scalable, distributed data collection and analysis system built for handling petabytes of data in the cloud.  Work with architects from other divisions contributing to this analytics system and mentor team members on best practices in backend infrastructure and distributed computing topics.  Analyze source data and data flows, working with structured and unstructured data. Manipulate high-volume, high-dimensionality data from varying sources to highlight patterns, anomalies, relationships and trends Analyze and visualize diverse sources of data, interpret results in the business context and report results clearly and concisely. Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms. Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products. Build and optimize classifiers using machine learning techniques and enhance data collection procedures that is relevant for building analytic systems. Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL. Create and refine features from the underlying data. You’ll enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you’ll lather, rinse and repeat. Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders. ","$7,000to$14,000",Monthly,"Middle Management, Manager",data engineer
,HYDROINFORMATICS INSTITUTE PTE. LTD.,Full Time,Professional Services,Data Engineer,"Requirements Masters or PhD in one of the mathematical sciences, or engineering Programming capability the data science languages – Python, R, and preferably in core languages – C, C++ Understanding and ability to code algorithms related to multivariate statistics, spatio-temporal statistics and time series analysis, and common machine learning algorithms in clustering, dimensionality reduction, neural networks etc. Familiarity with open source data visualization frameworks with D3.js is preferred Understanding of database concepts and distributed processing systems and knowledge of one of the frameworks – Hadoop, Spark, NOSQL etc. Excellent written and oral presentation skills Interest in developing environmental solutions ","Roles & ResponsibilitiesRoles and Responsibilities:  Implement data wrangling, preprocessing and preparation scripts for available raw environmental data Implement statistical and machine learning algorithms for data analysis and knowledge derivation Implement data visualization solutions for post processing and communication to internal and external teams Create and maintain databases for different kinds of geo-spatiotemporal data Monitor and manage data pipelines and test production codes ",,,Executive,data engineer
,Company Undisclosed,Full Time,Information Technology,Cyber Security Big Data Engineer,"Requirements Knowledge of Cybersecurity organization practices, operations, risk management processes, principles, architectural requirements, engineering and threats and vulnerabilities, including incident response methodologies Ability to collaborate with high-performing teams and individuals throughout taghe firm to accomplish common goals Proficiency in the use of skills tools, staying current with skills, participating in multiple forums Experience with Agile and can work with at least one of the common frameworks is highly desired Ability to analyze vulnerabilities, threats, designs, procedures and architectural design, producing reports and sharing intelligence Strong research, analytical and problem solving skills Independent problem-solving, highly motivated and self-directing Ability to write and debug administrative and reporting tools in some programming languages (Shell/Perl or Python, Scala/Java/R, C/C++, HTML5, or other experiences acceptable) Comfortable with most aspect of operating system administration such as tweaking, hardening and configuring services A solid understanding of Unix-based operating systems, including paging/swapping, IPC, drivers and filesystem (inode, partitions, etc.) Experience with host and network security (identity/password management, ACLs, file permissions and integrity) Strong interpersonal and communication skills; capable of writing documentation, training users in complex topics, making presentations to junior and very senior audience Ability to work under pressure in a fast-paced environment while remaining productive and professional; exercise patience and ability to multi task    Bonus Points  Experience with hadoop ecosystem: Hadoop, Spark, Map/Reduce, Hive/Pig, Impala/Drill, etc. Experience with Data Science: MLlib, Scikit, h2o, TensorFlow, Pytorch, Caffe, Singa, etc. Experience with NoSQL stacks: Elasticsearch, MongoDB, etc. Experience with SIEM products: Qradar, Arcsight, Splunk, etc. Experience with messaging and data transport tools: Kafka, NiFi, LogStash, Syslog-ng, rsyslog, etc. Experience with Link Analysis tools and GraphDBs Experience with data visualization tools: Hue, Kibana, Qlikview, Tableau, etc. Knowledge in RIA: HTML5, node.js, bootstrap, angular, extJS, etc. ","Roles & ResponsibilitiesWorking in Cybersecurity takes pure passion for technology, speed, a constant desire to learn, and above all, vigilance in keeping every last asset safe and sound. You’ll be on the front lines of innovation, working with a highly-motivated team laser-focused on analyzing, designing, developing and delivering solutions built to stop adversaries and strengthen our operations. Your research and work will ensure stability, capacity and resiliency of our products in emerging industry trends. Working in tandem with your internal team, as well as technologists and innovators across our global network, your ability to identify threats, provide intelligent analysis and positive actions will stop adversaries and strengthen our products.   Responsibilities  Focus on the development of tools and technologies that are at the core of the company’s capabilities to manage, monitor and hunt for cyber security incidents Architecture and development of large scale solution (big data) to be used in a very large production environment System, network and application troubleshooting Provide engineering support for cyber security products developed ","$7,000to$12,000",Monthly,Professional,data engineer
,DBS BANK LTD.,"Permanent, Full Time",Banking and Finance,"VP / AVP, Machine Learning Engineer, Group Consumer Banking and Big Data Analytics Tech (180003YE)","Requirements PhD/Masters/Bachelors in Computer Science, Computer Engineering, Statistics, Applied Mathematics, or related disciplines.  Excellent understanding of software engineering principles and design patterns. Excellent programming skills in either Python, Scala, or Java. In-depth understanding of data science and machine learning technologies and methodologies. Good working knowledge of high performance computing, parallel data processing, and big data stack, e.g. Spark and Hadoop/Yarn. Experience to one or more commercial / open source data warehouses or data analytics systems, e.g. Teradata, is a big plus. Experience to one or more NoSQL databases is a big plus. Hands-on experience in Cloud platforms, e.g. AWS, or containerization/ virtualization platforms, e.g. Docker/Kubernetes, is a big plus. Experience to any data science or machine learning platform, e.g. IBM Data Science Experience or Cloudera Data Science Workbench, is a big plus. Exposure to mainframe system is a plus. Passion about machine learning and data-driven intelligence system. Excellent communication and presentation skills in English. Team player, self-starter, ability to work on multiple projects in parallel is necessary. 2+ years of experience in machine learning system or data science research 5+ years of experience in software engineering or DevOps automation or data engineering Experience working in multi-cultural environments ","Roles & ResponsibilitiesJob Purpose    Build and improve machine learning and analytics platform. Work with data scientists to create, optimize and productionize of machine learning models for various business units within the organization. Keep innovating and optimizing data and machine learning workflow to enable data-driven business activities at large scale.    Responsibilities   Build and improve machine learning and analytics platform.       Apply cutting edge technologies and tool chain in big data and machine learning to build machine learning and analytics platform. Keep innovating and optimizing the machine learning workflow, from data exploration, model experimentation/prototyping to production. Provide engineering solution and framework to support machine learning and data-driven business activities at large scale. Perform R&D on new technologies and solutions to improve accessibility, scalability, efficiency and us abilities of machine learning and analytics platform.     Work with data scientists to build end-to-end machine learning and analytics solution to solve business challenges.       Turn advanced machine learning models created by data scientists into end-to-end production grade system. Build analytics platform components to support data collection, exploratory, and integration from various sources being data API, RDBMS, or big data platform. Optimize efficiency of machine learning algorithm by applying state-of-the-art technologies, i.e. distributed computing, concurrent programming, or GPU parallel computing.      Establish, apply and maintain best practices and principles of machine learning engineering.       Study and evaluate the state of the art technologies, tools, and frameworks of machine learning engineering. Contribute in creation of blueprint and reference architecture for various machine learning use cases. Support the organization in transformation towards a data driven business culture.     Work Relationships  Internal        Work closely with data scientists, business team, and project managers to provide machine learning and data-driven business solution.  Collaborate with other technology teams to build platform and framework to enable machine learning and data analytics activities at large scale     External        Maintain engineering principles and best practices of machine learning framework and technologies.   ","$7,000to$14,000",Monthly,"Middle Management, Manager",data engineer
"SHAW TOWERS, 100 BEACH ROAD 189702",PEOPLE PROFILERS PTE. LTD.,Permanent,Information Technology,Lead Data Engineer (Established FinTech Co / East),"RequirementsRequirements:  Preferably at least a Bachelor’s in a quantitative discipline (e.g. Computer Science, Engineering, or Mathematics) 8 years related work experience, in building high scalability, low latency systems Good knowledge & hands-on skills in at least 2 of these: Python/Java/Scala Knowledge of machine learning techniques (e.g. Bayesian methods, regression techniques) Good knowledge of algorithm generation & data structures. Knowledge and interest in data mining, machine learning, natural language processing, or information retrieval Prior exposure to NoSQL databases (development). Familiar with SQL and database technologies. Preferably have knowledge/experience in cloud computing technologies (e.g. AWS/Azure) Familiar with Linux environment. Knowledge in use of Hadoop/Spark  All Successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits. Interested applicants may wish to email your resume in a detailed Word format to ruth.gan@peopleprofilers.com. Please include last drawn and expected salaries and notice period. We regret that only shortlisted candidates will be notified.   Gan Huiru  Recruitment Consultant Tel: +65 6594 9897 Fax +65 6835 7890 Address: 100 Beach Road #33-06 Shaw Tower Singapore 189702 Email: ruth.gan@peopleprofilers.com EA License Number: 02C4944 Registration Number: R1768917","Roles & Responsibilities Join a rapidly expanding and reputable company in FinTech industry  Attractive remuneration package Great benefits (work-life balance, fun work environment, health insurance, dental plan) Junior & senior positions available    Position Overview:  Support our team in developing cutting-edge solutions for the FinTech industry, keeping security standards in mind.    Responsibilities:  Building robust batch and streaming data pipeline for production-grade data products/platforms (tools: Hadoop, Spark) Creating web services or APIs to connect analytical stacks to application layers Building and maintaining both cloud and on-premise data infrastructure Data cleaning, & pre-processing (e.g. with images/text) Analyse requirements and deliver suitable solutions Write code according to best practices, and which meets security standards Keep up to date with new technologies ","$7,500to$10,000",Monthly,Senior Executive,data engineer
